mode,label,task_type,dataset,model,num_clients,beta,seed,test_acc
client_balanced_prevalence,Client-balanced prior,small,chaoshengmnist_224,swin_tiny,5,0.01,42,0.444743935309973
client_balanced_prevalence,Client-balanced prior,small,chaoshengmnist_224,swin_tiny,5,0.1,42,0.4914645103324349
client_balanced_prevalence,Client-balanced prior,small,chaoshengmnist_224,swin_tiny,7,0.0,42,0.4833782569631626
client_balanced_prevalence,Client-balanced prior,small,chaoshengmnist_224,swin_tiny,7,0.01,42,0.48517520215633425
client_balanced_prevalence,Client-balanced prior,small,chaoshengmnist_224,swin_tiny,7,0.1,42,0.4833782569631626
client_balanced_prevalence,Client-balanced prior,small,chaoshengmnist_224,vit_t,3,0.0,42,0.46271338724168914
client_balanced_prevalence,Client-balanced prior,small,chaoshengmnist_224,vit_t,3,0.01,42,0.4618149146451033
client_balanced_prevalence,Client-balanced prior,small,chaoshengmnist_224,vit_t,3,0.1,42,0.4555256064690027
client_balanced_prevalence,Client-balanced prior,small,chaoshengmnist_224,vit_t,5,0.0,42,0.46271338724168914
client_balanced_prevalence,Client-balanced prior,small,chaoshengmnist_224,vit_t,5,0.01,42,0.46990116801437554
client_balanced_prevalence,Client-balanced prior,small,chaoshengmnist_224,vit_t,5,0.1,42,0.4501347708894879
client_balanced_prevalence,Client-balanced prior,small,chaoshengmnist_224,vit_t,7,0.0,42,0.46271338724168914
client_balanced_prevalence,Client-balanced prior,small,chaoshengmnist_224,vit_t,7,0.01,42,0.46540880503144655
client_balanced_prevalence,Client-balanced prior,small,chaoshengmnist_224,vit_t,7,0.1,42,0.4501347708894879
client_balanced_prevalence,Client-balanced prior,small,dermamnist_224,convnext,3,0.0,42,0.43640897755610975
client_balanced_prevalence,Client-balanced prior,small,dermamnist_224,convnext,3,0.01,42,0.43591022443890276
client_balanced_prevalence,Client-balanced prior,small,dermamnist_224,convnext,3,0.1,42,0.5600997506234414
client_balanced_prevalence,Client-balanced prior,small,dermamnist_224,convnext,5,0.0,42,0.43640897755610975
client_balanced_prevalence,Client-balanced prior,small,dermamnist_224,convnext,5,0.01,42,0.4423940149625935
client_balanced_prevalence,Client-balanced prior,small,dermamnist_224,convnext,5,0.1,42,0.5251870324189526
client_balanced_prevalence,Client-balanced prior,small,dermamnist_224,convnext,7,0.0,42,0.43640897755610975
client_balanced_prevalence,Client-balanced prior,small,dermamnist_224,convnext,7,0.01,42,0.4339152119700748
client_balanced_prevalence,Client-balanced prior,small,dermamnist_224,convnext,7,0.1,42,0.5586034912718204
client_balanced_prevalence,Client-balanced prior,small,dermamnist_224,resnet,3,0.0,42,0.4349127182044888
client_balanced_prevalence,Client-balanced prior,small,dermamnist_224,resnet,3,0.01,42,0.44089775561097255
client_balanced_prevalence,Client-balanced prior,small,dermamnist_224,resnet,3,0.1,42,0.6538653366583541
client_balanced_prevalence,Client-balanced prior,small,dermamnist_224,resnet,5,0.0,42,0.4349127182044888
client_balanced_prevalence,Client-balanced prior,small,dermamnist_224,resnet,5,0.01,42,0.4349127182044888
client_balanced_prevalence,Client-balanced prior,small,dermamnist_224,resnet,5,0.1,42,0.3630922693266833
client_balanced_prevalence,Client-balanced prior,small,dermamnist_224,resnet,7,0.0,42,0.4349127182044888
client_balanced_prevalence,Client-balanced prior,small,dermamnist_224,resnet,7,0.01,42,0.44089775561097255
client_balanced_prevalence,Client-balanced prior,small,dermamnist_224,resnet,7,0.1,42,0.6423940149625935
client_balanced_prevalence,Client-balanced prior,small,dermamnist_224,swin_tiny,3,0.0,42,0.4693266832917706
client_balanced_prevalence,Client-balanced prior,small,dermamnist_224,swin_tiny,3,0.01,42,0.4693266832917706
client_balanced_prevalence,Client-balanced prior,small,dermamnist_224,swin_tiny,3,0.1,42,0.5840399002493766
client_balanced_prevalence,Client-balanced prior,small,dermamnist_224,swin_tiny,5,0.0,42,0.4693266832917706
client_balanced_prevalence,Client-balanced prior,small,dermamnist_224,swin_tiny,5,0.01,42,0.46733167082294264
