ablation,task_type,dataset,model,num_clients,beta,seed,selected_candidate,test_acc,delta_acc_vs_full,mean_abs_delta_all,mean_abs_delta_morph,max_alpha_all,max_alpha_morph,entropy_alpha_all,entropy_alpha_morph
full,small,dermamnist_224,resnet,7,0.01,42,morph_anchor,0.6748129675810474,0.0,0.09189140203655984,0.09141012912197989,0.30533578991889954,0.3047877848148346,0.8842465156047833,0.8828693098973603
full,small,dermamnist_224,resnet,7,0.1,42,specialist_client,0.6773067331670823,0.0,0.07413826525515439,0.07336989645751155,0.29605165123939514,0.27256524562835693,0.9089770754793809,0.9153522213123131
full,small,dermamnist_224,swin_tiny,3,0.0,42,prototype_head,0.6688279301745635,0.0,0.26291103329923415,0.24857189920213485,0.727699875831604,0.7061911821365356,0.7033435482449947,0.7335016061740535
full,small,dermamnist_224,swin_tiny,3,0.01,42,prototype_head,0.6688279301745635,0.0,0.23912561602062646,0.21879101958539748,0.6920217871665955,0.6615198850631714,0.7556396087706742,0.7950604500238901
full,small,dermamnist_224,swin_tiny,3,0.1,42,prototype_head,0.6688279301745635,0.0,0.17939821465147868,0.18749002946747675,0.469269722700119,0.4776574373245239,0.8074599416865658,0.784311474210881
full,small,dermamnist_224,swin_tiny,5,0.0,42,prototype_head,0.6688279301745635,0.0,0.1404464480280876,0.13232820004224774,0.5511161088943481,0.5308204889297485,0.8095800706358495,0.8246784346855852
full,small,dermamnist_224,swin_tiny,5,0.01,42,prototype_head,0.6688279301745635,0.0,0.1424903702735901,0.14515225559473038,0.5562258958816528,0.5628806352615356,0.7972386081348918,0.7888167469865576
full,small,dermamnist_224,swin_tiny,5,0.1,42,prototype_head,0.6688279301745635,0.0,0.13436581760644914,0.1270042058825493,0.5359145402908325,0.5175105333328247,0.8249955770633527,0.8418432841725265
full,small,dermamnist_224,swin_tiny,7,0.0,42,prototype_head,0.6688279301745635,0.0,0.09331006100591346,0.09045048666243649,0.46944233775138855,0.45943382382392883,0.8386024650635467,0.8403808043522561
full,small,dermamnist_224,swin_tiny,7,0.01,42,prototype_head,0.6688279301745635,0.0,0.11222460539061196,0.10951681906471447,0.33966130018234253,0.33462727069854736,0.8260081597330471,0.8286531688408401
full,small,dermamnist_224,swin_tiny,7,0.1,42,prototype_head,0.6688279301745635,0.0,0.1007254820088951,0.09552717254478105,0.3210170269012451,0.3135339021682739,0.8568538235991063,0.8696023461468002
full,small,dermamnist_224,vit_t,3,0.0,42,prototype_head,0.6688279301745635,0.0,0.2767141030894385,0.2740730535652902,0.7484045028686523,0.7444429397583008,0.6663013046600694,0.6611625517721382
full,small,dermamnist_224,vit_t,3,0.01,42,prototype_head,0.6688279301745635,0.0,0.2404336697525448,0.21887554393874273,0.6939838528633118,0.6616466641426086,0.7529866270778783,0.7949775222554526
full,small,dermamnist_224,vit_t,3,0.1,42,prototype_head,0.6688279301745635,0.0,0.09205866191122268,0.09165362351470524,0.4453992247581482,0.4572560489177704,0.9529701808844432,0.9506484938913301
full,small,dermamnist_224,vit_t,5,0.0,42,prototype_head,0.6688279301745635,0.0,0.12142418891191484,0.11542385339736941,0.503560483455658,0.48855963349342346,0.8578682698918667,0.868969753068859
full,small,dermamnist_224,vit_t,5,0.01,42,prototype_head,0.6688279301745635,0.0,0.13214970767498016,0.1310916745662689,0.38090914487838745,0.3909423053264618,0.8470511431758878,0.8458566434217474
full,small,dermamnist_224,vit_t,5,0.1,42,prototype_head,0.6688279301745635,0.0,0.12574060529470446,0.12078192800283434,0.514351487159729,0.5019548535346985,0.83923216149973,0.8484795976523969
full,small,dermamnist_224,vit_t,7,0.0,42,avg,0.6608478802992519,0.0,0.07890724998955823,0.07878550750260449,0.419032484292984,0.4186064302921295,0.8803440486833058,0.8798958312287056
full,small,dermamnist_224,vit_t,7,0.01,42,prototype_head,0.6688279301745635,0.0,0.09424903661924966,0.0927312618159518,0.3102428615093231,0.30562254786491394,0.8741212757088892,0.877209143428754
full,small,dermamnist_224,vit_t,7,0.1,42,prototype_head,0.6688279301745635,0.0,0.0966278566237615,0.09413403074960318,0.2705689072608948,0.2538560926914215,0.8745702785962128,0.8823220702080753
full,small,organcmnist_224,convnext,3,0.0,42,morphology,0.22334469328140213,0.0,0.06446703606181675,0.09501031868987614,0.41652509570121765,0.4410240948200226,0.9767853251733684,0.9512034550566554
