module,parameter,symbol,value,task_type,dataset,model,num_clients,client_average_acc
M1,prototype head scale,s,12.0,small,organcmnist_224,convnext,5,0.6516553067185978
M1,prototype head scale,s,12.0,small,organcmnist_224,convnext,7,0.6542112950340798
M1,prototype head scale,s,12.0,small,organcmnist_224,resnet,3,0.5306312885426809
M1,prototype head scale,s,12.0,small,organcmnist_224,resnet,5,0.5290490100616683
M1,prototype head scale,s,12.0,small,organcmnist_224,resnet,7,0.529170723790977
M1,prototype head scale,s,12.0,small,organcmnist_224,swin_tiny,3,0.6857757221681272
M1,prototype head scale,s,12.0,small,organcmnist_224,swin_tiny,5,0.682935735150925
M1,prototype head scale,s,12.0,small,organcmnist_224,swin_tiny,7,0.6814345991561181
M1,prototype head scale,s,12.0,small,organcmnist_224,vit_t,3,0.5886887374229146
M1,prototype head scale,s,12.0,small,organcmnist_224,vit_t,5,0.5843070431678027
M1,prototype head scale,s,12.0,small,organcmnist_224,vit_t,7,0.5843476144109055
M1,prototype head scale,s,12.0,small,organsmnist_224,convnext,3,0.6102488576715381
M1,prototype head scale,s,12.0,small,organsmnist_224,convnext,5,0.6105131981420642
M1,prototype head scale,s,12.0,small,organsmnist_224,convnext,7,0.6110796420074771
M1,prototype head scale,s,12.0,small,organsmnist_224,resnet,3,0.45345719572523696
M1,prototype head scale,s,12.0,small,organsmnist_224,resnet,5,0.45455232053170197
M1,prototype head scale,s,12.0,small,organsmnist_224,resnet,7,0.4459423737774253
M1,prototype head scale,s,12.0,small,organsmnist_224,swin_tiny,3,0.623994562138892
M1,prototype head scale,s,12.0,small,organsmnist_224,swin_tiny,5,0.624561006004305
M1,prototype head scale,s,12.0,small,organsmnist_224,swin_tiny,7,0.6244099543068615
M1,prototype head scale,s,12.0,small,organsmnist_224,vit_t,3,0.5522827687776142
M1,prototype head scale,s,12.0,small,organsmnist_224,vit_t,5,0.552886975567388
M1,prototype head scale,s,12.0,small,organsmnist_224,vit_t,7,0.5534911823571618
M1,prototype head scale,s,15.0,small,bloodmnist_224,convnext,3,0.8479976615024847
M1,prototype head scale,s,15.0,small,bloodmnist_224,convnext,5,0.8476079119165936
M1,prototype head scale,s,15.0,small,bloodmnist_224,convnext,7,0.8487771606742668
M1,prototype head scale,s,15.0,small,bloodmnist_224,resnet,3,0.7999610250414109
M1,prototype head scale,s,15.0,small,bloodmnist_224,resnet,5,0.7986943388872649
M1,prototype head scale,s,15.0,small,bloodmnist_224,resnet,7,0.7984020266978467
M1,prototype head scale,s,15.0,small,bloodmnist_224,swin_tiny,3,0.7730683036149274
M1,prototype head scale,s,15.0,small,bloodmnist_224,swin_tiny,5,0.7715093052713631
M1,prototype head scale,s,15.0,small,bloodmnist_224,swin_tiny,7,0.7701451817207444
M1,prototype head scale,s,15.0,small,bloodmnist_224,vit_t,3,0.8517002825684498
M1,prototype head scale,s,15.0,small,bloodmnist_224,vit_t,5,0.8511156581896132
M1,prototype head scale,s,15.0,small,bloodmnist_224,vit_t,7,0.84994640943194
M1,prototype head scale,s,15.0,small,chaoshengmnist_224,convnext,3,0.4303683737646002
M1,prototype head scale,s,15.0,small,chaoshengmnist_224,convnext,5,0.42917041030248576
M1,prototype head scale,s,15.0,small,chaoshengmnist_224,convnext,7,0.4189877208745133
M1,prototype head scale,s,15.0,small,chaoshengmnist_224,resnet,3,0.4779874213836478
M1,prototype head scale,s,15.0,small,chaoshengmnist_224,resnet,5,0.4615154237795747
M1,prototype head scale,s,15.0,small,chaoshengmnist_224,resnet,7,0.47079964061096136
M1,prototype head scale,s,15.0,small,chaoshengmnist_224,swin_tiny,3,0.4734950584007188
M1,prototype head scale,s,15.0,small,chaoshengmnist_224,swin_tiny,5,0.4836777478286912
M1,prototype head scale,s,15.0,small,chaoshengmnist_224,swin_tiny,7,0.4797843665768194
M1,prototype head scale,s,15.0,small,chaoshengmnist_224,vit_t,3,0.46061695118298895
M1,prototype head scale,s,15.0,small,chaoshengmnist_224,vit_t,5,0.4546271338724169
M1,prototype head scale,s,15.0,small,chaoshengmnist_224,vit_t,7,0.4504342617550165
M1,prototype head scale,s,15.0,small,dermamnist_224,convnext,3,0.6192851205320034
M1,prototype head scale,s,15.0,small,dermamnist_224,convnext,5,0.6156275976724854
M1,prototype head scale,s,15.0,small,dermamnist_224,convnext,7,0.6176226101413134
M1,prototype head scale,s,15.0,small,dermamnist_224,resnet,3,0.6683291770573566
M1,prototype head scale,s,15.0,small,dermamnist_224,resnet,5,0.6683291770573566
M1,prototype head scale,s,15.0,small,dermamnist_224,resnet,7,0.6683291770573566
M1,prototype head scale,s,15.0,small,dermamnist_224,swin_tiny,3,0.6548628428927681
M1,prototype head scale,s,15.0,small,dermamnist_224,swin_tiny,5,0.655361596009975
M1,prototype head scale,s,15.0,small,dermamnist_224,swin_tiny,7,0.655527847049044
M1,prototype head scale,s,15.0,small,dermamnist_224,vit_t,3,0.6219451371571073
M1,prototype head scale,s,15.0,small,dermamnist_224,vit_t,5,0.6244389027431422
M1,prototype head scale,s,15.0,small,dermamnist_224,vit_t,7,0.630756442227764
M1,prototype head scale,s,15.0,small,organcmnist_224,convnext,3,0.6534404414151249
M1,prototype head scale,s,15.0,small,organcmnist_224,convnext,5,0.6510467380720545
M1,prototype head scale,s,15.0,small,organcmnist_224,convnext,7,0.6526695877961701
M1,prototype head scale,s,15.0,small,organcmnist_224,resnet,3,0.5647517039922103
M1,prototype head scale,s,15.0,small,organcmnist_224,resnet,5,0.5626014281077573
M1,prototype head scale,s,15.0,small,organcmnist_224,resnet,7,0.5617494320025965
M1,prototype head scale,s,15.0,small,organcmnist_224,swin_tiny,3,0.6856945796819215
M1,prototype head scale,s,15.0,small,organcmnist_224,swin_tiny,5,0.6822460240181759
M1,prototype head scale,s,15.0,small,organcmnist_224,swin_tiny,7,0.6801363193768257
M1,prototype head scale,s,15.0,small,organcmnist_224,vit_t,3,0.587471600129828
M1,prototype head scale,s,15.0,small,organcmnist_224,vit_t,5,0.5819133398247323
M1,prototype head scale,s,15.0,small,organcmnist_224,vit_t,7,0.5830087633885103
M1,prototype head scale,s,15.0,small,organsmnist_224,convnext,3,0.6083984743778558
M1,prototype head scale,s,15.0,small,organsmnist_224,convnext,5,0.6077565046637211
M1,prototype head scale,s,15.0,small,organsmnist_224,convnext,7,0.608889392394547
M1,prototype head scale,s,15.0,small,organsmnist_224,resnet,3,0.48159057437407954
M1,prototype head scale,s,15.0,small,organsmnist_224,resnet,5,0.48109965635738833
M1,prototype head scale,s,15.0,small,organsmnist_224,resnet,7,0.4739624636531853
M1,prototype head scale,s,15.0,small,organsmnist_224,swin_tiny,3,0.6247498206261093
M1,prototype head scale,s,15.0,small,organsmnist_224,swin_tiny,5,0.6263736263736264
M1,prototype head scale,s,15.0,small,organsmnist_224,swin_tiny,7,0.6260715229787395
M1,prototype head scale,s,15.0,small,organsmnist_224,vit_t,3,0.5473358256863412
M1,prototype head scale,s,15.0,small,organsmnist_224,vit_t,5,0.5494127865261886
M1,prototype head scale,s,15.0,small,organsmnist_224,vit_t,7,0.5501680450134059
M1,prototype head scale,s,17.0,small,bloodmnist_224,convnext,3,0.8479976615024847
M1,prototype head scale,s,17.0,small,bloodmnist_224,convnext,5,0.8476079119165936
M1,prototype head scale,s,17.0,small,bloodmnist_224,convnext,7,0.8487771606742668
M1,prototype head scale,s,17.0,small,bloodmnist_224,resnet,3,0.7999610250414109
M1,prototype head scale,s,17.0,small,bloodmnist_224,resnet,5,0.7986943388872649
M1,prototype head scale,s,17.0,small,bloodmnist_224,resnet,7,0.7984020266978467
M1,prototype head scale,s,17.0,small,bloodmnist_224,swin_tiny,3,0.7730683036149274
M1,prototype head scale,s,17.0,small,bloodmnist_224,swin_tiny,5,0.7715093052713631
M1,prototype head scale,s,17.0,small,bloodmnist_224,swin_tiny,7,0.7701451817207444
M1,prototype head scale,s,17.0,small,bloodmnist_224,vit_t,3,0.8517002825684498
M1,prototype head scale,s,17.0,small,bloodmnist_224,vit_t,5,0.8511156581896132
M1,prototype head scale,s,17.0,small,bloodmnist_224,vit_t,7,0.84994640943194
M1,prototype head scale,s,17.0,small,chaoshengmnist_224,convnext,3,0.4309673554956574
M1,prototype head scale,s,17.0,small,chaoshengmnist_224,convnext,5,0.42917041030248576
M1,prototype head scale,s,17.0,small,chaoshengmnist_224,convnext,7,0.41898772087451336
M1,prototype head scale,s,17.0,small,chaoshengmnist_224,resnet,3,0.4812818209044624
M1,prototype head scale,s,17.0,small,chaoshengmnist_224,resnet,5,0.4636118598382749
M1,prototype head scale,s,17.0,small,chaoshengmnist_224,resnet,7,0.47289607666966155
M1,prototype head scale,s,17.0,small,chaoshengmnist_224,swin_tiny,3,0.47139862234201857
M1,prototype head scale,s,17.0,small,chaoshengmnist_224,swin_tiny,5,0.4833782569631626
M1,prototype head scale,s,17.0,small,chaoshengmnist_224,swin_tiny,7,0.477088948787062
M1,prototype head scale,s,17.0,small,chaoshengmnist_224,vit_t,3,0.4609164420485175
M1,prototype head scale,s,17.0,small,chaoshengmnist_224,vit_t,5,0.4546271338724169
M1,prototype head scale,s,17.0,small,chaoshengmnist_224,vit_t,7,0.4504342617550165
