task_type,dataset,model,num_clients,beta,seed,mode,label,prototype_mode,evidence_mode,num_classes,covered_classes,mean_class_support,min_class_support,max_class_support,mean_pairwise_cosine,mean_pairwise_distance,min_pairwise_distance,mean_nearest_class_cosine,mean_nearest_class_distance,prototype_consistency,prototype_to_client_alignment,mean_evidence_entropy_norm
small,bloodmnist_224,convnext,7,0.01,42,uniform_prevalence,Uniform prevalence prior,reference_prototype,support_power,8,8,1494.875,849.0,2330.0,0.9197871088981628,0.08021296560764313,0.024532973766326904,0.9654719233512878,0.03452809900045395,0.9697070036615644,0.9893073818900369,0.3941735050957755
small,bloodmnist_224,convnext,7,0.01,42,smoothed_prevalence,Smoothed prevalence prior,reference_prototype,support_power,8,8,1494.875,849.0,2330.0,0.9197871088981628,0.08021296560764313,0.024532973766326904,0.9654719233512878,0.03452809900045395,0.9697070036615644,0.9893073818900369,0.3941735050957755
small,bloodmnist_224,convnext,7,0.1,42,full,LAMP-Merge,reference_prototype,support_power,8,8,1494.875,849.0,2330.0,0.9187939763069153,0.08120601624250412,0.02458035945892334,0.9649751782417297,0.035024821758270264,0.8809414857200214,0.9469098936427723,0.6012312556651962
small,bloodmnist_224,convnext,7,0.1,42,m1_only,M1 only,reference_prototype,support_power,8,8,1494.875,849.0,2330.0,0.9187939763069153,0.08120601624250412,0.02458035945892334,0.9649751782417297,0.035024821758270264,0.8809414857200214,0.9469098936427723,0.6012312556651962
small,bloodmnist_224,convnext,7,0.1,42,prototype_head_agg,Classifier-head aggregation,classifier_head_aggregation,support_power,8,8,1494.875,849.0,2330.0,0.0002042916603386402,0.9997956156730652,0.9276201725006104,0.055851541459560394,0.9441484212875366,-0.0004521568605144109,0.3379312035218446,0.6012312556651962
small,bloodmnist_224,convnext,7,0.1,42,global_feature_mean,Global-feature mean,global_feature_mean,support_power,8,8,1494.875,849.0,2330.0,1.0,-7.87632785659298e-08,-2.384185791015625e-07,1.0000001192092896,-1.4901161193847656e-07,1.0,1.0000000433488325,0.6012312556651962
small,bloodmnist_224,convnext,7,0.1,42,support_only,Support-only synthetic head,support_only_synthetic,support_power,8,8,1494.875,849.0,2330.0,0.011696860194206238,0.9883031845092773,0.9250220060348511,0.06048665940761566,0.9395133256912231,0.9999999829701015,1.000000055992242,0.6012312556651962
small,bloodmnist_224,convnext,7,0.1,42,prototype_shuffle,Shuffled-label prototype,reference_prototype_shuffle,support_power,8,8,1494.875,849.0,2330.0,0.9187940359115601,0.08120601624250412,0.02458035945892334,0.9649751782417297,0.035024821758270264,0.8809414857200214,0.8911890279163014,0.6012312556651962
small,bloodmnist_224,convnext,7,0.1,42,uniform_client_weight,Uniform client weight,reference_prototype,uniform_present_client,8,8,1494.875,849.0,2330.0,0.8976187109947205,0.10238126665353775,0.04659414291381836,0.9423099756240845,0.057690031826496124,0.8809414857200214,0.9549813613747106,1.0000000126291726
small,bloodmnist_224,convnext,7,0.1,42,binary_support,Binary support only,reference_prototype,uniform_present_client,8,8,1494.875,849.0,2330.0,0.8976187109947205,0.10238126665353775,0.04659414291381836,0.9423099756240845,0.057690031826496124,0.8809414857200214,0.9549813613747106,1.0000000126291726
