task_type,dataset,model,clip_model,num_clients,beta,seed,merge_weight_mode,my_merge_acc,my_merge_extra_acc,extra_minus_my_merge,exact_same
small,organcmnist_224,vit_t,,7,0.01,42,,0.23125608568646544,0.06621226874391431,-0.16504381694255113,False
small,organcmnist_224,vit_t,,7,0.1,42,,0.20034079844206426,0.17392891918208375,-0.02641187925998051,False
small,organsmnist_224,convnext,,3,0.0,42,,0.23541407046561685,0.23541407046561685,0.0,True
small,organsmnist_224,convnext,,3,0.01,42,,0.23541407046561685,0.0761300555114988,-0.15928401495411804,False
small,organsmnist_224,convnext,,3,0.1,42,,0.23541407046561685,0.07850911974623315,-0.1569049507193837,False
small,organsmnist_224,convnext,,5,0.0,42,,0.15214682224991502,0.07850911974623315,-0.07363770250368187,False
small,organsmnist_224,convnext,,5,0.01,42,,0.049733771383255916,0.23541407046561685,0.18568029908236094,False
small,organsmnist_224,convnext,,5,0.1,42,,0.23541407046561685,0.15214682224991502,-0.08326724821570183,False
small,organsmnist_224,convnext,,7,0.0,42,,0.28016313583323893,0.0797552962501416,-0.20040783958309732,False
small,organsmnist_224,convnext,,7,0.01,42,,0.23541407046561685,0.23541407046561685,0.0,True
small,organsmnist_224,convnext,,7,0.1,42,,0.14342358672255578,0.10966353234394471,-0.03376005437861107,False
small,organsmnist_224,resnet,,3,0.0,42,,0.49529851591707263,0.18749291945168234,-0.3078055964653903,False
small,organsmnist_224,resnet,,3,0.01,42,,0.4435255466183301,0.34507760280956157,-0.09844794380876853,False
small,organsmnist_224,resnet,,3,0.1,42,,0.47388693780446356,0.34507760280956157,-0.128809334994902,False
small,organsmnist_224,resnet,,5,0.0,42,,0.35176164042143426,0.27143990030587967,-0.0803217401155546,False
small,organsmnist_224,resnet,,5,0.01,42,,0.31177070352328085,0.09788149994335561,-0.21388920357992525,False
small,organsmnist_224,resnet,,5,0.1,42,,0.29183187946074546,0.22805030021524866,-0.0637815792454968,False
small,organsmnist_224,resnet,,7,0.0,42,,0.3095049280616291,0.19814206412144555,-0.11136286394018355,False
small,organsmnist_224,resnet,,7,0.01,42,,0.19451682338280277,0.23541407046561685,0.04089724708281409,False
small,organsmnist_224,resnet,,7,0.1,42,,0.3022544465843435,0.4203013481363997,0.11804690155205622,False
small,organsmnist_224,swin_tiny,,3,0.0,42,,0.15214682224991502,0.057777274272119636,-0.09436954797779538,False
small,organsmnist_224,swin_tiny,,3,0.01,42,,0.25625920471281294,0.11408179449416563,-0.14217741021864733,False
small,organsmnist_224,swin_tiny,,3,0.1,42,,0.23541407046561685,0.07850911974623315,-0.1569049507193837,False
small,organsmnist_224,swin_tiny,,5,0.0,42,,0.11759374645972584,0.05879687322986292,-0.05879687322986292,False
small,organsmnist_224,swin_tiny,,5,0.01,42,,0.1570182394924663,0.049733771383255916,-0.10728446810921038,False
small,organsmnist_224,swin_tiny,,5,0.1,42,,0.29874249461878327,0.04803443978701711,-0.25070805483176617,False
small,organsmnist_224,swin_tiny,,7,0.0,42,,0.2993089384841962,0.15293984366149316,-0.14636909482270305,False
small,organsmnist_224,swin_tiny,,7,0.01,42,,0.24300441826215022,0.15180695593066726,-0.09119746233148296,False
small,organsmnist_224,swin_tiny,,7,0.1,42,,0.324912201200861,0.10966353234394471,-0.2152486688569163,False
small,organsmnist_224,vit_t,,3,0.0,42,,0.23394131641554322,0.1761640421434236,-0.05777727427211962,False
small,organsmnist_224,vit_t,,3,0.01,42,,0.3774781919111816,0.05834371813753257,-0.319134473773649,False
small,organsmnist_224,vit_t,,3,0.1,42,,0.3097315056077943,0.09504928061629092,-0.21468222499150336,False
small,organsmnist_224,vit_t,,5,0.0,42,,0.33635436728220236,0.04690155205619123,-0.28945281522601113,False
small,organsmnist_224,vit_t,,5,0.01,42,,0.06491446697632265,0.14557607341112497,0.08066160643480232,False
small,organsmnist_224,vit_t,,5,0.1,42,,0.30825875155772064,0.05483176617197236,-0.25342698538574826,False
small,organsmnist_224,vit_t,,7,0.0,42,,0.36331709527585815,0.11555454854423927,-0.24776254673161888,False
small,organsmnist_224,vit_t,,7,0.01,42,,0.23541407046561685,0.23541407046561685,0.0,True
small,organsmnist_224,vit_t,,7,0.1,42,,0.18817265209017786,0.166987651523734,-0.021185000566443873,False
vlm,bloodmnist_224,clip-vit-base-patch32,openai/clip-vit-base-patch32,3,0.0,42,,0.3332358959368606,0.26775796550716163,-0.06547793042969896,False
vlm,bloodmnist_224,clip-vit-base-patch32,openai/clip-vit-base-patch32,3,0.01,42,,0.38526746565331776,0.27155802396959955,-0.11370944168371822,False
