ablation,task_type,dataset,model,num_clients,beta,seed,selected_candidate,client_index,client_name,prior_weight_pi,diagnostic_weight_alpha_all,medical_weight_alpha_morph
full,small,bloodmnist_224,vit_t,5,0.0,42,specialist_client,2,client_2.pt,0.2,0.14360575377941132,0.13585451245307922
full,small,bloodmnist_224,vit_t,5,0.0,42,specialist_client,3,client_3.pt,0.2,0.21017254889011383,0.19152401387691498
full,small,bloodmnist_224,vit_t,5,0.0,42,specialist_client,4,client_4.pt,0.2,0.27094414830207825,0.2715204656124115
full,small,bloodmnist_224,vit_t,5,0.01,42,prototype_head,0,client_0.pt,0.2,0.15466934442520142,0.1448669284582138
full,small,bloodmnist_224,vit_t,5,0.01,42,prototype_head,1,client_1.pt,0.2,0.16135498881340027,0.17940743267536163
full,small,bloodmnist_224,vit_t,5,0.01,42,prototype_head,2,client_2.pt,0.2,0.18075725436210632,0.22057095170021057
full,small,bloodmnist_224,vit_t,5,0.01,42,prototype_head,3,client_3.pt,0.2,0.28339168429374695,0.2668902277946472
full,small,bloodmnist_224,vit_t,5,0.01,42,prototype_head,4,client_4.pt,0.2,0.219826802611351,0.18826444447040558
full,small,bloodmnist_224,vit_t,5,0.1,42,prototype_head,0,client_0.pt,0.2,0.23704855144023895,0.21861518919467926
full,small,bloodmnist_224,vit_t,5,0.1,42,prototype_head,1,client_1.pt,0.2,0.2370462566614151,0.2186112105846405
full,small,bloodmnist_224,vit_t,5,0.1,42,prototype_head,2,client_2.pt,0.2,0.2000567466020584,0.25096139311790466
full,small,bloodmnist_224,vit_t,5,0.1,42,prototype_head,3,client_3.pt,0.2,0.16187579929828644,0.1549796760082245
full,small,bloodmnist_224,vit_t,5,0.1,42,prototype_head,4,client_4.pt,0.2,0.1639726310968399,0.15683256089687347
full,small,bloodmnist_224,vit_t,7,0.0,42,prototype_head,0,client_0.pt,0.14285714285714285,0.15910574793815613,0.16751612722873688
full,small,bloodmnist_224,vit_t,7,0.0,42,prototype_head,1,client_1.pt,0.14285714285714285,0.10195846855640411,0.09612654894590378
full,small,bloodmnist_224,vit_t,7,0.0,42,prototype_head,2,client_2.pt,0.14285714285714285,0.09981757402420044,0.08925371617078781
full,small,bloodmnist_224,vit_t,7,0.0,42,prototype_head,3,client_3.pt,0.14285714285714285,0.14616310596466064,0.12589402496814728
full,small,bloodmnist_224,vit_t,7,0.0,42,prototype_head,4,client_4.pt,0.14285714285714285,0.18842463195323944,0.17847640812397003
full,small,bloodmnist_224,vit_t,7,0.0,42,prototype_head,5,client_5.pt,0.14285714285714285,0.1811874955892563,0.19822026789188385
full,small,bloodmnist_224,vit_t,7,0.0,42,prototype_head,6,client_6.pt,0.14285714285714285,0.12334299832582474,0.1445128470659256
full,small,bloodmnist_224,vit_t,7,0.01,42,prototype_head,0,client_0.pt,0.14285714285714285,0.1223621591925621,0.14905470609664917
full,small,bloodmnist_224,vit_t,7,0.01,42,prototype_head,1,client_1.pt,0.14285714285714285,0.14498744904994965,0.12984341382980347
full,small,bloodmnist_224,vit_t,7,0.01,42,prototype_head,2,client_2.pt,0.14285714285714285,0.14382416009902954,0.1419815570116043
full,small,bloodmnist_224,vit_t,7,0.01,42,prototype_head,3,client_3.pt,0.14285714285714285,0.1869252324104309,0.18408486247062683
full,small,bloodmnist_224,vit_t,7,0.01,42,prototype_head,4,client_4.pt,0.14285714285714285,0.09911205619573593,0.09214165806770325
full,small,bloodmnist_224,vit_t,7,0.01,42,prototype_head,5,client_5.pt,0.14285714285714285,0.14500005543231964,0.12985019385814667
full,small,bloodmnist_224,vit_t,7,0.01,42,prototype_head,6,client_6.pt,0.14285714285714285,0.15778888761997223,0.1730436533689499
full,small,bloodmnist_224,vit_t,7,0.1,42,prototype_head,0,client_0.pt,0.14285714285714285,0.15684908628463745,0.17725741863250732
full,small,bloodmnist_224,vit_t,7,0.1,42,prototype_head,1,client_1.pt,0.14285714285714285,0.14320263266563416,0.1321224421262741
full,small,bloodmnist_224,vit_t,7,0.1,42,prototype_head,2,client_2.pt,0.14285714285714285,0.14322379231452942,0.13213537633419037
full,small,bloodmnist_224,vit_t,7,0.1,42,prototype_head,3,client_3.pt,0.14285714285714285,0.09807036072015762,0.09391241520643234
full,small,bloodmnist_224,vit_t,7,0.1,42,prototype_head,4,client_4.pt,0.14285714285714285,0.14322061836719513,0.132131889462471
full,small,bloodmnist_224,vit_t,7,0.1,42,prototype_head,5,client_5.pt,0.14285714285714285,0.1715562790632248,0.1997198462486267
full,small,bloodmnist_224,vit_t,7,0.1,42,prototype_head,6,client_6.pt,0.14285714285714285,0.1438772827386856,0.13272057473659515
full,small,chaoshengmnist_224,convnext,3,0.0,42,morphology,0,client_0.pt,0.3333333333333333,0.13259996473789215,0.10011394321918488
full,small,chaoshengmnist_224,convnext,3,0.0,42,morphology,1,client_1.pt,0.3333333333333333,0.157451331615448,0.11858848482370377
full,small,chaoshengmnist_224,convnext,3,0.0,42,morphology,2,client_2.pt,0.3333333333333333,0.7099486589431763,0.781297504901886
full,small,chaoshengmnist_224,convnext,3,0.01,42,morphology,0,client_0.pt,0.3333333333333333,0.13231919705867767,0.11107871681451797
full,small,chaoshengmnist_224,convnext,3,0.01,42,morphology,1,client_1.pt,0.3333333333333333,0.6789722442626953,0.7312330007553101
full,small,chaoshengmnist_224,convnext,3,0.01,42,morphology,2,client_2.pt,0.3333333333333333,0.18870855867862701,0.15768826007843018
full,small,chaoshengmnist_224,convnext,3,0.1,42,morphology,0,client_0.pt,0.3333333333333333,0.27324122190475464,0.2740008234977722
full,small,chaoshengmnist_224,convnext,3,0.1,42,morphology,1,client_1.pt,0.3333333333333333,0.4402749538421631,0.4389231204986572
full,small,chaoshengmnist_224,convnext,3,0.1,42,morphology,2,client_2.pt,0.3333333333333333,0.28648388385772705,0.28707611560821533
full,small,chaoshengmnist_224,convnext,5,0.0,42,morphology,0,client_0.pt,0.2,0.14094991981983185,0.11951649188995361
