module,x_symbol,x_value,curve_symbol,curve_value,task_type,dataset,model,num_clients,client_average_acc
diagnostic prototype reconstruction,s,22.5,gamma,0.35,small,organsmnist_224,vit_t,5,0.5431819040066462
diagnostic prototype reconstruction,s,22.5,gamma,0.35,small,organsmnist_224,vit_t,7,0.5456364940901023
diagnostic prototype reconstruction,s,25.0,gamma,0.35,small,bloodmnist_224,convnext,3,0.8465361005553932
diagnostic prototype reconstruction,s,25.0,gamma,0.35,small,bloodmnist_224,convnext,5,0.8468284127448115
diagnostic prototype reconstruction,s,25.0,gamma,0.35,small,bloodmnist_224,convnext,7,0.8493617850531033
diagnostic prototype reconstruction,s,25.0,gamma,0.35,small,bloodmnist_224,resnet,3,0.7992789632661015
diagnostic prototype reconstruction,s,25.0,gamma,0.35,small,bloodmnist_224,resnet,5,0.7972327779401734
diagnostic prototype reconstruction,s,25.0,gamma,0.35,small,bloodmnist_224,resnet,7,0.7949917178212998
diagnostic prototype reconstruction,s,25.0,gamma,0.35,small,bloodmnist_224,swin_tiny,3,0.7733606158043457
diagnostic prototype reconstruction,s,25.0,gamma,0.35,small,bloodmnist_224,swin_tiny,5,0.7673194972230342
diagnostic prototype reconstruction,s,25.0,gamma,0.35,small,bloodmnist_224,swin_tiny,7,0.7655656240865244
diagnostic prototype reconstruction,s,25.0,gamma,0.35,small,bloodmnist_224,vit_t,3,0.8500438468284127
diagnostic prototype reconstruction,s,25.0,gamma,0.35,small,bloodmnist_224,vit_t,5,0.8508233460001948
diagnostic prototype reconstruction,s,25.0,gamma,0.35,small,bloodmnist_224,vit_t,7,0.8466335379518659
