backbone,method,dataset,client_setting,client_average_acc
ConvNeXt,LAMP-Merge,Derma,K=5,0.5920
ConvNeXt,LAMP-Merge,Derma,K=7,0.5852
ConvNeXt,LAMP-Merge,Derma,Avg,0.5921
ConvNeXt,LAMP-Merge,Organ-C,K=3,0.6482
ConvNeXt,LAMP-Merge,Organ-C,K=5,0.6480
ConvNeXt,LAMP-Merge,Organ-C,K=7,0.6495
ConvNeXt,LAMP-Merge,Organ-C,Avg,0.6486
ConvNeXt,LAMP-Merge,Organ-S,K=3,0.5977
ConvNeXt,LAMP-Merge,Organ-S,K=5,0.5985
ConvNeXt,LAMP-Merge,Organ-S,K=7,0.5990
ConvNeXt,LAMP-Merge,Organ-S,Avg,0.5984
ConvNeXt,LAMP-Merge,Ultrasound,K=3,0.4259
ConvNeXt,LAMP-Merge,Ultrasound,K=5,0.4259
ConvNeXt,LAMP-Merge,Ultrasound,K=7,0.4259
ConvNeXt,LAMP-Merge,Ultrasound,Avg,0.4259
ViT-Tiny,avg,Blood,K=3,0.1343
ViT-Tiny,avg,Blood,K=5,0.1082
ViT-Tiny,avg,Blood,K=7,0.1160
ViT-Tiny,avg,Blood,Avg,0.1195
ViT-Tiny,avg,Derma,K=3,0.4638
ViT-Tiny,avg,Derma,K=5,0.4369
ViT-Tiny,avg,Derma,K=7,0.3696
ViT-Tiny,avg,Derma,Avg,0.4234
ViT-Tiny,avg,Organ-C,K=3,0.1657
ViT-Tiny,avg,Organ-C,K=5,0.1043
ViT-Tiny,avg,Organ-C,K=7,0.0952
ViT-Tiny,avg,Organ-C,Avg,0.1217
ViT-Tiny,avg,Organ-S,K=3,0.0844
ViT-Tiny,avg,Organ-S,K=5,0.0852
ViT-Tiny,avg,Organ-S,K=7,0.1710
ViT-Tiny,avg,Organ-S,Avg,0.1135
ViT-Tiny,avg,Ultrasound,K=3,0.1450
ViT-Tiny,avg,Ultrasound,K=5,0.1327
ViT-Tiny,avg,Ultrasound,K=7,0.1884
ViT-Tiny,avg,Ultrasound,Avg,0.1554
ViT-Tiny,ties,Blood,K=3,0.0796
ViT-Tiny,ties,Blood,K=5,0.1421
ViT-Tiny,ties,Blood,K=7,0.1285
ViT-Tiny,ties,Blood,Avg,0.1167
ViT-Tiny,ties,Derma,K=3,0.4780
ViT-Tiny,ties,Derma,K=5,0.3498
ViT-Tiny,ties,Derma,K=7,0.4615
ViT-Tiny,ties,Derma,Avg,0.4298
ViT-Tiny,ties,Organ-C,K=3,0.1341
ViT-Tiny,ties,Organ-C,K=5,0.1223
ViT-Tiny,ties,Organ-C,K=7,0.0953
ViT-Tiny,ties,Organ-C,Avg,0.1172
ViT-Tiny,ties,Organ-S,K=3,0.1192
ViT-Tiny,ties,Organ-S,K=5,0.1002
ViT-Tiny,ties,Organ-S,K=7,0.1597
ViT-Tiny,ties,Organ-S,Avg,0.1264
ViT-Tiny,ties,Ultrasound,K=3,0.2001
ViT-Tiny,ties,Ultrasound,K=5,0.1306
ViT-Tiny,ties,Ultrasound,K=7,0.1018
ViT-Tiny,ties,Ultrasound,Avg,0.1442
ViT-Tiny,dare_linear,Blood,K=3,0.2397
ViT-Tiny,dare_linear,Blood,K=5,0.1129
ViT-Tiny,dare_linear,Blood,K=7,0.1387
ViT-Tiny,dare_linear,Blood,Avg,0.1638
