module,x_symbol,x_value,curve_symbol,curve_value,root,raw_cells,raw_mean_acc,client_average_cells,client_average_mean_acc
diagnostic prototype reconstruction,s,22.5,gamma,0.55,/data2/liyapeng_grp/program/MedMNISTMerge/outputs/lamp_merge_hparam_interaction_full_20260714_hparam_interaction_local5x5_rerun/m1_gamma_0p55_s_22p5,180,0.6217714093966507,60,0.6217714093966507
diagnostic prototype reconstruction,s,23.75,gamma,0.55,outputs/lamp_merge_hparam_interaction_full_20260715_hparam_interaction_dense_additional5x5/m1_gamma_0p55_s_23p75,180,0.6214297390162937,60,0.6214297390162937
diagnostic prototype reconstruction,s,25.0,gamma,0.55,/data2/liyapeng_grp/program/MedMNISTMerge/outputs/lamp_merge_hparam_interaction_full_20260714_hparam_interaction_local5x5_rerun/m1_gamma_0p55_s_25,180,0.6208554983694247,60,0.6208554983694247
long-tail prevalence calibration,lambda,3.75,tau,1.5,outputs/lamp_merge_hparam_interaction_full_20260715_hparam_interaction_dense_additional5x5/m2_tau_1p5_lambda_3p75,180,0.6181069553848394,60,0.6181069553848394
long-tail prevalence calibration,lambda,4.0,tau,1.5,/data2/liyapeng_grp/program/MedMNISTMerge/outputs/lamp_merge_hparam_interaction_full_20260714_hparam_interaction_local5x5_rerun/m2_tau_1p5_lambda_4p0,180,0.6182053811745135,60,0.6182053811745134
long-tail prevalence calibration,lambda,4.25,tau,1.5,outputs/lamp_merge_hparam_interaction_full_20260715_hparam_interaction_dense_additional5x5/m2_tau_1p5_lambda_4p25,180,0.618169953060598,60,0.618169953060598
long-tail prevalence calibration,lambda,4.5,tau,1.5,/data2/liyapeng_grp/program/MedMNISTMerge/outputs/lamp_merge_hparam_interaction_full_20260714_hparam_interaction_local5x5_rerun/m2_tau_1p5_lambda_4p5,180,0.6180810099783328,60,0.6180810099783328
long-tail prevalence calibration,lambda,4.75,tau,1.5,outputs/lamp_merge_hparam_interaction_full_20260715_hparam_interaction_dense_additional5x5/m2_tau_1p5_lambda_4p75,180,0.6181307310903876,60,0.6181307310903876
long-tail prevalence calibration,lambda,5.0,tau,1.5,/data2/liyapeng_grp/program/MedMNISTMerge/outputs/lamp_merge_hparam_interaction_full_20260714_hparam_interaction_local5x5_rerun/m2_tau_1p5_lambda_5p0,180,0.6177954280536153,60,0.6177954280536153
long-tail prevalence calibration,lambda,5.25,tau,1.5,outputs/lamp_merge_hparam_interaction_full_20260715_hparam_interaction_dense_additional5x5/m2_tau_1p5_lambda_5p25,180,0.6176870330406609,60,0.6176870330406609
long-tail prevalence calibration,lambda,5.5,tau,1.5,/data2/liyapeng_grp/program/MedMNISTMerge/outputs/lamp_merge_hparam_interaction_full_20260714_hparam_interaction_local5x5_rerun/m2_tau_1p5_lambda_5p5,180,0.6169648375042182,60,0.6169648375042182
long-tail prevalence calibration,lambda,5.75,tau,1.5,outputs/lamp_merge_hparam_interaction_full_20260715_hparam_interaction_dense_additional5x5/m2_tau_1p5_lambda_5p75,180,0.6163077015185001,60,0.6163077015185001
long-tail prevalence calibration,lambda,6.0,tau,1.5,/data2/liyapeng_grp/program/MedMNISTMerge/outputs/lamp_merge_hparam_interaction_full_20260714_hparam_interaction_local5x5_rerun/m2_tau_1p5_lambda_6p0,180,0.615420957966792,60,0.615420957966792
long-tail prevalence calibration,lambda,3.75,tau,2.0,outputs/lamp_merge_hparam_interaction_full_20260715_hparam_interaction_dense_additional5x5/m2_tau_2p0_lambda_3p75,180,0.6193070593180623,60,0.6193070593180623
long-tail prevalence calibration,lambda,4.0,tau,2.0,/data2/liyapeng_grp/program/MedMNISTMerge/outputs/lamp_merge_hparam_interaction_full_20260714_hparam_interaction_local5x5_rerun/m2_tau_2p0_lambda_4p0,180,0.6198049784332748,60,0.6198049784332748
long-tail prevalence calibration,lambda,4.25,tau,2.0,outputs/lamp_merge_hparam_interaction_full_20260715_hparam_interaction_dense_additional5x5/m2_tau_2p0_lambda_4p25,180,0.6202128904733103,60,0.6202128904733103
long-tail prevalence calibration,lambda,4.5,tau,2.0,/data2/liyapeng_grp/program/MedMNISTMerge/outputs/lamp_merge_hparam_interaction_full_20260714_hparam_interaction_local5x5_rerun/m2_tau_2p0_lambda_4p5,180,0.6205088251071126,60,0.6205088251071126
long-tail prevalence calibration,lambda,4.75,tau,2.0,outputs/lamp_merge_hparam_interaction_full_20260715_hparam_interaction_dense_additional5x5/m2_tau_2p0_lambda_4p75,180,0.6208654740180566,60,0.6208654740180566
long-tail prevalence calibration,lambda,5.0,tau,2.0,/data2/liyapeng_grp/program/MedMNISTMerge/outputs/lamp_merge_hparam_interaction_full_20260714_hparam_interaction_local5x5_rerun/m2_tau_2p0_lambda_5p0,180,0.6209296643068226,60,0.6209296643068226
long-tail prevalence calibration,lambda,5.25,tau,2.0,outputs/lamp_merge_hparam_interaction_full_20260715_hparam_interaction_dense_additional5x5/m2_tau_2p0_lambda_5p25,180,0.621321447929095,60,0.621321447929095
long-tail prevalence calibration,lambda,5.5,tau,2.0,/data2/liyapeng_grp/program/MedMNISTMerge/outputs/lamp_merge_hparam_interaction_full_20260714_hparam_interaction_local5x5_rerun/m2_tau_2p0_lambda_5p5,180,0.6211189185071737,60,0.6211189185071737
long-tail prevalence calibration,lambda,5.75,tau,2.0,outputs/lamp_merge_hparam_interaction_full_20260715_hparam_interaction_dense_additional5x5/m2_tau_2p0_lambda_5p75,180,0.6210837579022735,60,0.6210837579022735
long-tail prevalence calibration,lambda,6.0,tau,2.0,/data2/liyapeng_grp/program/MedMNISTMerge/outputs/lamp_merge_hparam_interaction_full_20260714_hparam_interaction_local5x5_rerun/m2_tau_2p0_lambda_6p0,180,0.6207329200311656,60,0.6207329200311656
long-tail prevalence calibration,lambda,3.75,tau,2.5,outputs/lamp_merge_hparam_interaction_full_20260715_hparam_interaction_dense_additional5x5/m2_tau_2p5_lambda_3p75,180,0.6193070593180623,60,0.6193070593180623
long-tail prevalence calibration,lambda,4.0,tau,2.5,/data2/liyapeng_grp/program/MedMNISTMerge/outputs/lamp_merge_hparam_interaction_full_20260714_hparam_interaction_local5x5_rerun/m2_tau_2p5_lambda_4p0,180,0.6198049784332748,60,0.6198049784332748
long-tail prevalence calibration,lambda,4.25,tau,2.5,outputs/lamp_merge_hparam_interaction_full_20260715_hparam_interaction_dense_additional5x5/m2_tau_2p5_lambda_4p25,180,0.6202128904733103,60,0.6202128904733103
long-tail prevalence calibration,lambda,4.5,tau,2.5,/data2/liyapeng_grp/program/MedMNISTMerge/outputs/lamp_merge_hparam_interaction_full_20260714_hparam_interaction_local5x5_rerun/m2_tau_2p5_lambda_4p5,180,0.6205088251071126,60,0.6205088251071126
long-tail prevalence calibration,lambda,4.75,tau,2.5,outputs/lamp_merge_hparam_interaction_full_20260715_hparam_interaction_dense_additional5x5/m2_tau_2p5_lambda_4p75,180,0.6208654740180566,60,0.6208654740180566
long-tail prevalence calibration,lambda,5.0,tau,2.5,/data2/liyapeng_grp/program/MedMNISTMerge/outputs/lamp_merge_hparam_interaction_full_20260714_hparam_interaction_local5x5_rerun/m2_tau_2p5_lambda_5p0,180,0.6209296643068226,60,0.6209296643068226
long-tail prevalence calibration,lambda,5.25,tau,2.5,outputs/lamp_merge_hparam_interaction_full_20260715_hparam_interaction_dense_additional5x5/m2_tau_2p5_lambda_5p25,180,0.621321447929095,60,0.621321447929095
long-tail prevalence calibration,lambda,5.5,tau,2.5,/data2/liyapeng_grp/program/MedMNISTMerge/outputs/lamp_merge_hparam_interaction_full_20260714_hparam_interaction_local5x5_rerun/m2_tau_2p5_lambda_5p5,180,0.6211189185071737,60,0.6211189185071737
long-tail prevalence calibration,lambda,5.75,tau,2.5,outputs/lamp_merge_hparam_interaction_full_20260715_hparam_interaction_dense_additional5x5/m2_tau_2p5_lambda_5p75,180,0.6210837579022735,60,0.6210837579022735
long-tail prevalence calibration,lambda,6.0,tau,2.5,/data2/liyapeng_grp/program/MedMNISTMerge/outputs/lamp_merge_hparam_interaction_full_20260714_hparam_interaction_local5x5_rerun/m2_tau_2p5_lambda_6p0,180,0.6207329200311656,60,0.6207329200311656
long-tail prevalence calibration,lambda,3.75,tau,3.0,outputs/lamp_merge_hparam_interaction_full_20260715_hparam_interaction_dense_additional5x5/m2_tau_3p0_lambda_3p75,180,0.6172295975617867,60,0.6172295975617867
long-tail prevalence calibration,lambda,4.0,tau,3.0,/data2/liyapeng_grp/program/MedMNISTMerge/outputs/lamp_merge_hparam_interaction_full_20260714_hparam_interaction_local5x5_rerun/m2_tau_3p0_lambda_4p0,180,0.6180468354641178,60,0.6180468354641178
long-tail prevalence calibration,lambda,4.25,tau,3.0,outputs/lamp_merge_hparam_interaction_full_20260715_hparam_interaction_dense_additional5x5/m2_tau_3p0_lambda_4p25,180,0.618806211582291,60,0.618806211582291
long-tail prevalence calibration,lambda,4.5,tau,3.0,/data2/liyapeng_grp/program/MedMNISTMerge/outputs/lamp_merge_hparam_interaction_full_20260714_hparam_interaction_local5x5_rerun/m2_tau_3p0_lambda_4p5,180,0.6192576971986703,60,0.6192576971986703
long-tail prevalence calibration,lambda,4.75,tau,3.0,outputs/lamp_merge_hparam_interaction_full_20260715_hparam_interaction_dense_additional5x5/m2_tau_3p0_lambda_4p75,180,0.6200586360766108,60,0.6200586360766108
long-tail prevalence calibration,lambda,5.0,tau,3.0,/data2/liyapeng_grp/program/MedMNISTMerge/outputs/lamp_merge_hparam_interaction_full_20260714_hparam_interaction_local5x5_rerun/m2_tau_3p0_lambda_5p0,180,0.6204048293682464,60,0.6204048293682464
long-tail prevalence calibration,lambda,5.25,tau,3.0,outputs/lamp_merge_hparam_interaction_full_20260715_hparam_interaction_dense_additional5x5/m2_tau_3p0_lambda_5p25,180,0.621153122083815,60,0.621153122083815
long-tail prevalence calibration,lambda,5.5,tau,3.0,/data2/liyapeng_grp/program/MedMNISTMerge/outputs/lamp_merge_hparam_interaction_full_20260714_hparam_interaction_local5x5_rerun/m2_tau_3p0_lambda_5p5,180,0.621468836018288,60,0.621468836018288
long-tail prevalence calibration,lambda,5.75,tau,3.0,outputs/lamp_merge_hparam_interaction_full_20260715_hparam_interaction_dense_additional5x5/m2_tau_3p0_lambda_5p75,180,0.621928960266137,60,0.621928960266137
long-tail prevalence calibration,lambda,6.0,tau,3.0,/data2/liyapeng_grp/program/MedMNISTMerge/outputs/lamp_merge_hparam_interaction_full_20260714_hparam_interaction_local5x5_rerun/m2_tau_3p0_lambda_6p0,180,0.622006381044611,60,0.622006381044611
long-tail prevalence calibration,lambda,3.75,tau,3.5,outputs/lamp_merge_hparam_interaction_full_20260715_hparam_interaction_dense_additional5x5/m2_tau_3p5_lambda_3p75,180,0.6172295975617867,60,0.6172295975617867
long-tail prevalence calibration,lambda,4.0,tau,3.5,/data2/liyapeng_grp/program/MedMNISTMerge/outputs/lamp_merge_hparam_interaction_full_20260714_hparam_interaction_local5x5_rerun/m2_tau_3p5_lambda_4p0,180,0.6180559744503219,60,0.6180559744503219
long-tail prevalence calibration,lambda,4.25,tau,3.5,outputs/lamp_merge_hparam_interaction_full_20260715_hparam_interaction_dense_additional5x5/m2_tau_3p5_lambda_4p25,180,0.618806211582291,60,0.618806211582291
long-tail prevalence calibration,lambda,4.5,tau,3.5,/data2/liyapeng_grp/program/MedMNISTMerge/outputs/lamp_merge_hparam_interaction_full_20260714_hparam_interaction_local5x5_rerun/m2_tau_3p5_lambda_4p5,180,0.619270940114497,60,0.619270940114497
long-tail prevalence calibration,lambda,4.75,tau,3.5,outputs/lamp_merge_hparam_interaction_full_20260715_hparam_interaction_dense_additional5x5/m2_tau_3p5_lambda_4p75,180,0.6200586360766108,60,0.6200586360766108
long-tail prevalence calibration,lambda,5.0,tau,3.5,/data2/liyapeng_grp/program/MedMNISTMerge/outputs/lamp_merge_hparam_interaction_full_20260714_hparam_interaction_local5x5_rerun/m2_tau_3p5_lambda_5p0,180,0.6204122674294819,60,0.6204122674294819
long-tail prevalence calibration,lambda,5.25,tau,3.5,outputs/lamp_merge_hparam_interaction_full_20260715_hparam_interaction_dense_additional5x5/m2_tau_3p5_lambda_5p25,180,0.621153122083815,60,0.621153122083815
long-tail prevalence calibration,lambda,5.5,tau,3.5,/data2/liyapeng_grp/program/MedMNISTMerge/outputs/lamp_merge_hparam_interaction_full_20260714_hparam_interaction_local5x5_rerun/m2_tau_3p5_lambda_5p5,180,0.621468836018288,60,0.621468836018288
long-tail prevalence calibration,lambda,5.75,tau,3.5,outputs/lamp_merge_hparam_interaction_full_20260715_hparam_interaction_dense_additional5x5/m2_tau_3p5_lambda_5p75,180,0.621928960266137,60,0.621928960266137
long-tail prevalence calibration,lambda,6.0,tau,3.5,/data2/liyapeng_grp/program/MedMNISTMerge/outputs/lamp_merge_hparam_interaction_full_20260714_hparam_interaction_local5x5_rerun/m2_tau_3p5_lambda_6p0,180,0.622006381044611,60,0.622006381044611
