task_type,dataset,model,clip_model,num_clients,beta,seed,merged_method,comparison_baseline,merged_accuracy,baseline_accuracy,gap_accuracy,merged_balanced_accuracy,baseline_balanced_accuracy,gap_balanced_accuracy,merged_macro_f1,baseline_macro_f1,gap_macro_f1
small,dermamnist_224,resnet,,3,0.01,42,from,oracle_min_loss,0.6703241895261846,0.8428927680798005,-0.17256857855361596,0.14935064935064934,0.6608895849551472,-0.5115389356044978,0.12612917185048952,0.5663653840784612,-0.4402362122279716
small,dermamnist_224,resnet,,3,0.1,42,avg,best_single_client,0.6723192019950125,0.6384039900249376,0.033915211970074854,0.16130066077938626,0.2364720753787021,-0.07517141459931584,0.14561929898162754,0.18310965393586254,-0.037490354954235
small,dermamnist_224,resnet,,3,0.1,42,avg,prob_ensemble,0.6723192019950125,0.6329177057356609,0.03940149625935163,0.16130066077938626,0.2606293599973147,-0.09932869921792842,0.14561929898162754,0.20926336221469444,-0.0636440632330669
small,dermamnist_224,resnet,,3,0.1,42,avg,logit_ensemble,0.6723192019950125,0.6443890274314215,0.027930174563591037,0.16130066077938626,0.25663909478009955,-0.09533843400071329,0.14561929898162754,0.2003444595883402,-0.054725160606712675
small,dermamnist_224,resnet,,3,0.1,42,avg,oracle_any_correct,0.6723192019950125,0.7436408977556109,-0.07132169576059844,0.16130066077938626,0.5599009635158451,-0.3986003027364588,0.14561929898162754,0.41257833955085854,-0.26695904056923103
small,dermamnist_224,resnet,,3,0.1,42,avg,oracle_min_loss,0.6723192019950125,0.741645885286783,-0.0693266832917705,0.16130066077938626,0.5472655426516526,-0.38596488187226635,0.14561929898162754,0.4097911758488597,-0.2641718768672322
small,dermamnist_224,resnet,,3,0.1,42,ties,best_single_client,0.6648379052369078,0.6384039900249376,0.026433915211970138,0.19221640489640748,0.2364720753787021,-0.04425567048229462,0.16481505485985393,0.18310965393586254,-0.01829459907600861
small,dermamnist_224,resnet,,3,0.1,42,ties,prob_ensemble,0.6648379052369078,0.6329177057356609,0.031920199501246915,0.19221640489640748,0.2606293599973147,-0.0684129551009072,0.16481505485985393,0.20926336221469444,-0.04444830735484051
small,dermamnist_224,resnet,,3,0.1,42,ties,logit_ensemble,0.6648379052369078,0.6443890274314215,0.02044887780548632,0.19221640489640748,0.25663909478009955,-0.06442268988369207,0.16481505485985393,0.2003444595883402,-0.035529404728486286
small,dermamnist_224,resnet,,3,0.1,42,ties,oracle_any_correct,0.6648379052369078,0.7436408977556109,-0.07880299251870315,0.19221640489640748,0.5599009635158451,-0.3676845586194376,0.16481505485985393,0.41257833955085854,-0.24776328469100461
small,dermamnist_224,resnet,,3,0.1,42,ties,oracle_min_loss,0.6648379052369078,0.741645885286783,-0.07680798004987521,0.19221640489640748,0.5472655426516526,-0.35504913775524516,0.16481505485985393,0.4097911758488597,-0.24497612098900579
small,dermamnist_224,resnet,,3,0.1,42,fisher,best_single_client,0.6703241895261846,0.6384039900249376,0.031920199501246915,0.16676733451673179,0.2364720753787021,-0.06970474086197032,0.14706288258856068,0.18310965393586254,-0.03604677134730186
small,dermamnist_224,resnet,,3,0.1,42,fisher,prob_ensemble,0.6703241895261846,0.6329177057356609,0.03740648379052369,0.16676733451673179,0.2606293599973147,-0.0938620254805829,0.14706288258856068,0.20926336221469444,-0.06220047962613376
